Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
61,Nicolas Brussino\brussni01,SF,23,DAL,37,257,10.9,.493,.689,.148,4.8,15.8,10.0,15.3,2.0,1.7,14.5,14.0,,0.1,0.3,0.4,.071,,-1.8,1.2,-0.6,0.1
62,Reggie Bullock\bullore01,SF,25,DET,15,224,10.4,.517,.485,.061,2.9,12.1,7.4,7.7,1.4,1.1,8.1,14.7,,0.1,0.2,0.3,.072,,-1.5,0.2,-1.3,0.0
63,Trey Burke\burketr01,PG,24,WAS,53,658,10.4,.514,.259,.113,1.2,6.5,3.9,20.7,0.8,0.6,14.6,19.6,,0.1,0.3,0.5,.035,,-2.8,-3.2,-6.0,-0.7
64,Alec Burks\burksal01,SG,25,UTA,23,341,12.0,.534,.317,.358,1.8,11.5,6.8,7.4,1.8,0.7,11.2,22.1,,0.1,0.5,0.5,.077,,-2.3,-0.7,-3.0,-0.1
65,Jimmy Butler\butleji01,SF,27,CHI,53,1949,25.2,.584,.210,.563,4.8,14.0,9.3,23.6,2.5,0.6,9.2,27.1,,7.1,2.3,9.4,.231,,5.9,0.5,6.4,4.1
66,Bruno Caboclo\cabocbr01,SF,21,TOR,8,23,7.9,.300,.600,.000,14.6,14.9,14.8,16.9,4.4,0.0,28.6,13.6,,0.0,0.0,0.0,.005,,-2.2,2.5,0.3,0.0
67,Jose Calderon\caldejo01,PG,35,LAL,24,292,9.1,.508,.442,.052,2.9,12.6,7.6,25.1,1.2,0.3,24.8,15.3,,-0.1,0.1,0.0,.001,,-2.9,-2.2,-5.1,-0.2
68,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,54,1838,14.0,.534,.461,.199,2.5,8.9,5.6,12.4,1.9,0.5,8.2,19.5,,2.0,1.9,3.9,.102,,1.6,0.3,1.9,1.8
69,Isaiah Canaan\canaais01,SG,25,CHI,33,572,8.4,.490,.537,.189,1.1,7.9,4.5,8.9,1.9,0.1,9.7,15.0,,0.1,0.4,0.5,.045,,-1.8,-1.3,-3.1,-0.2
70,Clint Capela\capelca01,C,22,HOU,46,1064,21.2,.644,.000,.312,11.2,24.7,17.9,6.2,1.1,4.9,12.4,19.6,,2.4,1.6,4.0,.180,,-0.4,1.2,0.8,0.7
71,DeMarre Carroll\carrode01,SF,30,TOR,55,1508,12.3,.541,.573,.214,3.6,13.2,8.4,5.3,2.1,1.2,8.0,15.6,,1.6,1.4,3.0,.096,,0.9,0.0,0.9,1.1
72,Vince Carter\cartevi01,SG,40,MEM,52,1252,11.9,.528,.587,.258,2.3,13.1,7.5,11.7,1.7,2.1,7.3,15.4,,1.3,1.6,2.9,.112,,0.0,1.1,1.1,1.0
73,Michael Carter-Williams\cartemi01,PG,25,CHI,27,587,10.6,.460,.213,.280,3.3,19.6,11.3,18.2,1.8,1.5,16.0,20.9,,-0.5,0.7,0.3,.022,,-3.4,0.9,-2.5,-0.1
74,Omri Casspi\casspom01,SF,28,TOT,23,421,11.4,.521,.262,.167,5.8,19.5,12.6,9.7,1.2,0.2,12.3,16.5,,0.1,0.3,0.4,.045,,-2.6,-1.3,-3.8,-0.2
74,Omri Casspi\casspom01,SF,28,SAC,22,397,11.4,.511,.248,.179,5.9,20.4,13.1,10.3,1.3,0.2,11.9,16.3,,0.1,0.3,0.4,.047,,-2.6,-1.0,-3.6,-0.2
74,Omri Casspi\casspom01,SF,28,NOP,1,24,10.0,.667,.444,.000,4.3,4.4,4.4,0.0,0.0,0.0,18.2,20.3,,0.0,0.0,0.0,.011,,-2.5,-6.0,-8.5,0.0
75,Willie Cauley-Stein\caulewi01,C,23,SAC,53,747,16.1,.567,.008,.284,7.8,16.1,11.9,7.4,1.8,3.5,10.9,19.9,,0.8,0.7,1.5,.099,,-2.1,0.2,-1.9,0.0
76,Tyson Chandler\chandty01,C,34,PHO,47,1298,16.8,.703,.000,.544,12.8,33.8,23.0,3.3,1.2,1.5,19.2,11.4,,2.8,1.3,4.1,.151,,-0.7,0.3,-0.4,0.5
77,Wilson Chandler\chandwi01,SF,29,DEN,53,1637,15.2,.536,.328,.197,5.9,18.5,12.1,10.7,1.3,1.0,10.6,22.5,,1.7,0.8,2.5,.073,,0.5,-1.4,-0.8,0.5
